id,name,length,width,height,weight,category,priority,fragility,stackable,access_freq,can_rotate
SYN-56a11212,Synthetic confectionery 30,0.67,0.41,0.6,11.21,confectionery,3,1,0,8,1
SYN-f6fcb374,Synthetic potatoe products 31,0.98,0.4,0.46,7.21,potatoe products,3,0,1,5,1
SYN-b7eccab7,Synthetic bakery products 32,0.56,0.42,0.44,11.23,bakery products,3,1,0,4,1
SYN-3c70e23b,Synthetic instant meals 33,1.07,0.54,0.56,18.61,instant meals,1,0,0,4,1
SYN-0f34efea,Synthetic dairy products 34,1.14,0.45,0.46,15.71,dairy products,1,0,1,4,1
SYN-32ed63b6,Synthetic instant meals 35,0.71,0.42,0.61,12.84,instant meals,2,0,1,5,1
SYN-b765a285,Synthetic bakery products 36,1.05,0.47,0.46,11.86,bakery products,2,1,0,1,1
SYN-46b2e5b5,Synthetic ice cream 37,0.77,0.7,0.44,16.33,ice cream,3,1,0,7,1
SYN-833543f0,Synthetic bakery products 38,1.13,0.45,0.48,15.11,bakery products,2,1,0,1,1
SYN-6389eeff,Synthetic dairy products 39,1.06,0.35,0.48,11.61,dairy products,2,0,1,4,1
SYN-987c25f9,Synthetic confectionery 40,0.52,0.39,0.51,7.44,confectionery,1,1,0,5,1
SYN-d38bbc16,Synthetic ice cream 41,1.18,0.78,0.63,14.97,ice cream,2,1,0,2,1
SYN-4aead7e6,Synthetic bakery products 42,1.11,0.46,0.48,15.3,bakery products,1,1,0,7,1
SYN-7f3bbca9,Synthetic poultry 43,0.62,0.44,0.6,10.4,poultry,1,0,1,1,1
SYN-993d78e6,Synthetic seafood 44,0.8,0.48,0.29,8.58,seafood,3,0,1,6,1
SYN-48fa583c,Synthetic ice cream 45,0.71,0.54,0.42,20.84,ice cream,3,1,0,9,1
SYN-b3baacc7,Synthetic ice cream 46,1.07,0.55,0.52,18.37,ice cream,1,1,0,7,1
SYN-7b7b91bf,Synthetic ice cream 47,1.06,0.52,0.51,17.96,ice cream,3,1,0,7,1
SYN-a1629659,Synthetic confectionery 48,0.79,0.55,0.39,13.51,confectionery,3,1,0,7,1
SYN-2d6d6e6a,Synthetic red meat 49,0.59,0.4,0.57,8.65,red meat,3,0,1,6,1
SYN-5c308a80,Synthetic pizza 50,0.65,0.42,0.62,10.51,pizza,1,0,1,10,1
SYN-597a53f3,Synthetic bakery products 51,1.18,0.79,0.48,15.06,bakery products,3,1,0,3,1
SYN-f5092377,Synthetic confectionery 52,0.63,0.44,0.38,8.45,confectionery,2,1,0,1,1
SYN-7c630fb8,Synthetic candy 53,0.71,0.39,0.56,10.09,candy,3,0,1,6,1
SYN-d7dfc22e,Synthetic vegetables 54,1.17,0.75,0.59,18.09,vegetables,1,1,0,1,1
SYN-931c2a4b,Synthetic confectionery 55,0.71,0.41,0.62,13.04,confectionery,1,1,0,6,1
SYN-50eaf316,Synthetic bakery products 56,0.79,0.56,0.48,8.38,bakery products,1,1,0,9,1
SYN-ba414839,Synthetic fish 57,0.71,0.45,0.55,7.46,fish,2,0,0,10,1
SYN-db573940,Synthetic confectionery 58,0.66,0.41,0.6,11.06,confectionery,3,1,0,5,1
SYN-c9e42aeb,Synthetic ice cream 59,0.84,0.48,0.56,13.64,ice cream,1,1,0,5,1
SYN-27057d32,Synthetic bakery products 60,1.08,0.53,0.56,19.17,bakery products,1,1,0,2,1
SYN-884ac955,Synthetic potatoe products 61,0.67,0.41,0.61,10.7,potatoe products,1,0,1,5,1
SYN-612d6a43,Synthetic candy 62,1.08,0.35,0.48,10.85,candy,3,0,1,10,1
SYN-a280a20a,Synthetic confectionery 63,1.16,0.36,0.49,15.39,confectionery,2,1,0,6,1
SYN-9fc5f3c9,Synthetic candy 64,1.18,0.76,0.19,22.56,candy,2,0,1,1,1
SYN-343687a7,Synthetic vegetables 65,0.56,0.39,0.36,8.73,vegetables,1,1,0,7,1
SYN-7b250fcb,Synthetic instant meals 66,1.13,0.46,0.32,14.7,instant meals,3,0,1,1,1
SYN-75ab81b4,Synthetic confectionery 67,1.1,0.5,0.63,14.36,confectionery,3,1,0,8,1
SYN-e611a02f,Synthetic bakery products 68,1.06,0.56,0.51,18.68,bakery products,1,1,0,10,1
SYN-b6ee51ac,Synthetic bakery products 69,0.78,0.56,0.54,6.36,bakery products,3,1,0,3,1
SYN-4eae5e49,Synthetic confectionery 70,0.78,0.53,0.55,20.37,confectionery,3,1,0,8,1
SYN-94e2fbfc,Synthetic fish 71,0.81,0.59,0.45,17.95,fish,1,0,1,6,1
SYN-cdf3a9bd,Synthetic confectionery 72,0.78,0.54,0.52,20.97,confectionery,1,1,0,5,1
SYN-3eadbd74,Synthetic fruit 73,0.77,0.54,0.49,21.57,fruit,1,1,0,1,1
SYN-4ad15a5f,Synthetic ice cream 74,1.11,0.48,0.54,17.11,ice cream,2,1,0,9,1
SYN-84ab15f3,Synthetic instant meals 75,0.73,0.3,0.26,3.31,instant meals,3,0,1,7,1
SYN-efbe7f43,Synthetic confectionery 76,0.74,0.53,0.59,9.35,confectionery,2,1,0,1,1
SYN-f4288d15,Synthetic red meat 77,0.78,0.54,0.56,20.17,red meat,2,0,1,8,1
SYN-ec04205b,Synthetic dairy products 78,0.81,0.57,0.25,12.97,dairy products,3,0,1,5,1
SYN-b7035e9d,Synthetic bakery products 79,1.12,0.45,0.46,15.29,bakery products,3,1,0,1,1
SYN-bae98f98,Synthetic poultry 80,1.18,0.8,0.58,14.63,poultry,1,0,1,3,1
SYN-2fadbc83,Synthetic confectionery 81,0.66,0.4,0.61,10.76,confectionery,1,1,0,5,1
SYN-6c3157ce,Synthetic candy 82,1.05,0.53,0.56,18.89,candy,2,0,1,2,1
SYN-d631f210,Synthetic fish 83,0.76,0.53,0.61,19.31,fish,2,0,1,9,1
SYN-31bd1b8b,Synthetic ice cream 84,0.52,0.27,0.44,2.93,ice cream,3,1,0,10,1
SYN-c480c112,Synthetic instant meals 85,0.78,0.56,0.4,17.71,instant meals,2,0,1,5,1
SYN-8db6e49c,Synthetic bakery products 86,0.78,0.53,0.59,19.21,bakery products,1,1,0,1,1
SYN-07f4781a,Synthetic vegetables 87,0.78,0.53,0.56,20.14,vegetables,3,1,0,1,1
SYN-d6ccd947,Synthetic bakery products 88,0.78,0.56,0.54,19.4,bakery products,2,1,0,9,1
SYN-fd22d81f,Synthetic red meat 89,0.61,0.38,0.47,6.82,red meat,1,0,0,10,1
SYN-c609d1a1,Synthetic dairy products 90,0.89,0.58,0.55,7.04,dairy products,2,0,1,9,1
SYN-0d261fdc,Synthetic bakery products 91,0.77,0.68,0.58,16.62,bakery products,1,1,0,6,1
SYN-36ad3b40,Synthetic snack 92,0.8,0.39,0.31,10.16,snack,3,0,1,1,1
SYN-dbf0831f,Synthetic bakery products 93,0.77,0.53,0.6,19.52,bakery products,1,1,0,4,1
SYN-f885893e,Synthetic candy 94,0.79,0.58,0.39,13.39,candy,3,0,1,3,1
SYN-2d8da0fb,Synthetic confectionery 95,0.78,0.53,0.6,20.19,confectionery,2,1,0,8,1
SYN-613dbcfe,Synthetic confectionery 96,0.74,0.61,0.65,10.33,confectionery,1,1,0,2,1
SYN-233fd4a7,Synthetic non-food products 97,1.08,0.54,0.57,19.11,non-food products,3,0,1,4,1
SYN-47ee1f25,Synthetic poultry 98,0.75,0.72,0.52,15.57,poultry,2,0,1,8,1
SYN-784e249c,Synthetic bakery products 99,0.62,0.4,0.45,6.49,bakery products,2,1,0,2,1
SYN-78029b64,Synthetic snack 100,0.91,0.52,0.56,17.52,snack,1,0,0,4,1
SYN-7fdf8ddf,Synthetic bakery products 101,0.79,0.57,0.45,19.21,bakery products,3,1,0,5,1
SYN-eead43f0,Synthetic pizza 102,0.79,0.56,0.53,19.11,pizza,3,0,1,8,1
SYN-0349785e,Synthetic confectionery 103,0.54,0.43,0.49,9.8,confectionery,1,1,0,2,1
SYN-f4ede4b4,Synthetic seafood 104,0.61,0.42,0.54,8.31,seafood,3,0,1,2,1
SYN-efc36a55,Synthetic bakery products 105,1.13,0.52,0.66,17.75,bakery products,3,1,0,3,1
SYN-1c0c9484,Synthetic bakery products 106,0.81,0.33,0.34,15.83,bakery products,1,1,0,9,1
SYN-5c078600,Synthetic fish 107,0.81,0.59,0.44,15.38,fish,1,0,1,1,1
SYN-9c7d1ab2,Synthetic poultry 108,0.77,0.49,0.63,18.42,poultry,2,0,1,4,1
SYN-1f8f8bef,Synthetic bakery products 109,0.8,0.31,0.3,14.16,bakery products,3,1,0,3,1
SYN-c1899154,Synthetic vegetables 110,0.76,0.75,0.41,14.78,vegetables,2,1,0,4,1
SYN-e7ba09b2,Synthetic pizza 111,0.67,0.41,0.6,10.95,pizza,3,0,1,3,1
SYN-828b89cf,Synthetic instant meals 112,0.86,0.27,0.4,8.11,instant meals,1,0,1,1,1
SYN-9ab58992,Synthetic instant meals 113,0.64,0.42,0.52,11.58,instant meals,3,0,1,6,1
SYN-8d0bbcdf,Synthetic vegetables 114,0.64,0.42,0.59,10.35,vegetables,2,1,0,7,1
SYN-82c63d86,Synthetic ice cream 115,0.49,0.33,0.48,4.9,ice cream,3,1,0,4,1
SYN-ef687aba,Synthetic instant meals 116,0.73,0.52,0.45,21.15,instant meals,2,0,1,7,1
SYN-4d266ca9,Synthetic potatoe products 117,1.18,0.78,0.46,16.77,potatoe products,1,0,1,3,1
SYN-20eb2b46,Synthetic bakery products 118,1.18,0.8,0.58,14.76,bakery products,3,1,0,7,1
SYN-f82279e0,Synthetic ice cream 119,0.93,0.59,0.37,15.59,ice cream,1,1,0,1,1
SYN-da6e069d,Synthetic fish 120,0.68,0.41,0.6,10.77,fish,1,0,1,4,1
SYN-f8f3fd89,Synthetic confectionery 121,0.8,0.54,0.28,12.32,confectionery,1,1,0,5,1
SYN-9c2d9488,Synthetic vegetables 122,0.67,0.42,0.61,11.04,vegetables,3,1,0,2,1
SYN-1f8dba08,Synthetic side dish 123,0.67,0.41,0.62,11.12,side dish,3,0,1,10,1
SYN-88356356,Synthetic pizza 124,0.7,0.45,0.61,13.26,pizza,2,0,1,10,1
SYN-72ae0acf,Synthetic fish 125,0.92,0.46,0.53,6.67,fish,2,0,0,6,1
SYN-87f11aa1,Synthetic instant meals 126,0.82,0.53,0.6,19.1,instant meals,2,0,1,1,1
SYN-d15cb1c1,Synthetic seafood 127,0.88,0.58,0.26,12.57,seafood,3,0,1,1,1
SYN-d26c9d57,Synthetic poultry 128,0.8,0.58,0.24,10.97,poultry,2,0,1,5,1
SYN-c56f1161,Synthetic ice cream 129,0.78,0.54,0.56,20.22,ice cream,1,1,0,7,1
SYN-4de6f091,Synthetic fish 130,0.77,0.46,0.49,5.15,fish,3,0,1,8,1
SYN-4ec93571,Synthetic red meat 131,0.82,0.59,0.32,12.65,red meat,1,0,1,4,1
SYN-379a8ce8,Synthetic seafood 132,1.09,0.49,0.51,16.42,seafood,2,0,1,8,1
SYN-de8ca4b2,Synthetic seafood 133,1.11,0.46,0.38,15.78,seafood,3,0,1,3,1
SYN-9066ca25,Synthetic confectionery 134,0.71,0.47,0.63,14.01,confectionery,3,1,0,5,1
SYN-02758ce7,Synthetic bakery products 135,1.19,0.79,0.53,13.75,bakery products,2,1,0,10,1
SYN-e0e0da80,Synthetic confectionery 136,1.09,0.54,0.54,18.9,confectionery,2,1,0,4,1
SYN-8a6d690a,Synthetic fruit 137,0.79,0.58,0.3,9.89,fruit,2,1,0,7,1
SYN-a6d7aa28,Synthetic confectionery 138,0.49,0.39,0.54,6.37,confectionery,3,1,0,1,1
SYN-98a2975e,Synthetic side dish 139,0.54,0.44,0.55,9.2,side dish,3,0,1,2,1
SYN-8275bbd0,Synthetic seafood 140,0.55,0.34,0.39,7.93,seafood,3,0,1,8,1
SYN-c473a240,Synthetic ice cream 141,0.82,0.31,0.3,14.04,ice cream,3,1,0,2,1
SYN-db581c26,Synthetic confectionery 142,0.69,0.43,0.62,12.2,confectionery,2,1,0,10,1
SYN-88020a61,Synthetic bakery products 143,0.86,0.78,0.39,12.66,bakery products,1,1,0,6,1
SYN-fd200d00,Synthetic confectionery 144,0.67,0.4,0.58,10.65,confectionery,3,1,0,2,1
SYN-8937d67a,Synthetic vegetables 145,0.79,0.56,0.51,19.35,vegetables,3,1,0,4,1
SYN-0036db2d,Synthetic ice cream 146,0.66,0.41,0.59,10.8,ice cream,2,1,0,6,1
SYN-b4a981e6,Synthetic fish 147,0.8,0.43,0.44,4.79,fish,3,0,1,1,1
SYN-6fd3455f,Synthetic pizza 148,0.71,0.52,0.42,20.77,pizza,1,0,1,4,1
SYN-0244186c,Synthetic instant meals 149,0.58,0.42,0.38,11.69,instant meals,1,0,1,6,1
SYN-39a4dada,Synthetic vegetables 150,1.13,0.42,0.47,12.95,vegetables,2,1,0,2,1
SYN-3890ef33,Synthetic confectionery 151,0.52,0.4,0.55,7.66,confectionery,1,1,0,5,1
SYN-00046a17,Synthetic dairy products 152,1.01,0.45,0.43,10.72,dairy products,2,0,1,8,1
SYN-224f1125,Synthetic vegetables 153,1.08,0.34,0.49,11.67,vegetables,3,1,0,8,1
SYN-0287c0a2,Synthetic bakery products 154,0.73,0.52,0.44,21.06,bakery products,2,1,0,3,1
SYN-cd51091c,Synthetic potatoe products 155,1.06,0.55,0.53,19.42,potatoe products,1,0,1,9,1
SYN-f02bf6e9,Synthetic herbs/spice 156,1.08,0.5,0.49,16.57,herbs/spice,1,0,1,2,1
SYN-7c77e056,Synthetic potatoe products 157,0.81,0.58,0.45,15.89,potatoe products,3,0,1,10,1
SYN-c559204d,Synthetic confectionery 158,0.68,0.43,0.62,10.97,confectionery,3,1,0,1,1
SYN-c114169c,Synthetic ice cream 159,1.13,0.43,0.42,14.66,ice cream,2,1,0,7,1
SYN-a4691bc1,Synthetic confectionery 160,1.1,0.52,0.51,17.89,confectionery,1,1,0,3,1
SYN-d211e265,Synthetic ice cream 161,1.16,0.55,0.55,14.76,ice cream,3,1,0,6,1
SYN-9e94af39,Synthetic confectionery 162,1.16,0.4,0.47,14.76,confectionery,2,1,0,4,1
SYN-40658d39,Synthetic fruit 163,1.13,0.7,0.18,15.25,fruit,1,1,0,5,1
SYN-65622da8,Synthetic confectionery 164,0.67,0.41,0.6,10.78,confectionery,3,1,0,10,1
SYN-6c72f2c9,Synthetic ice cream 165,1.1,0.51,0.58,17.84,ice cream,3,1,0,1,1
SYN-4ec8eaa3,Synthetic dairy products 166,0.94,0.59,0.42,16.75,dairy products,3,0,1,9,1
SYN-10002e26,Synthetic vegetables 167,0.79,0.56,0.53,19.3,vegetables,2,1,0,9,1
SYN-94f90cae,Synthetic confectionery 168,1.12,0.37,0.5,11.13,confectionery,3,1,0,3,1
SYN-683ebbed,Synthetic confectionery 169,0.78,0.3,0.26,3.83,confectionery,2,1,0,4,1
SYN-11727a55,Synthetic confectionery 170,1.12,0.47,0.47,15.67,confectionery,1,1,0,4,1
SYN-39334cad,Synthetic fruit 171,1.15,0.4,0.47,12.51,fruit,1,1,0,7,1
SYN-0f13c3cb,Synthetic dairy products 172,0.71,0.46,0.62,13.41,dairy products,2,0,1,6,1
SYN-19ecdfa0,Synthetic vegetables 173,0.79,0.54,0.58,20.2,vegetables,2,1,0,7,1
SYN-e18b6e5e,Synthetic side dish 174,0.81,0.59,0.45,17.24,side dish,3,0,1,6,1
SYN-e82b6686,Synthetic potatoe products 175,0.73,0.49,0.4,20.59,potatoe products,1,0,1,10,1
SYN-2314d857,Synthetic pizza 176,1.16,0.37,0.5,16.43,pizza,2,0,1,3,1
SYN-253ebd78,Synthetic side dish 177,1.09,0.5,0.5,16.54,side dish,1,0,1,1,1
SYN-3288fc21,Synthetic candy 178,1.18,0.79,0.46,15.21,candy,1,0,0,3,1
SYN-005e2829,Synthetic confectionery 179,0.66,0.41,0.6,10.8,confectionery,3,1,0,3,1
SYN-103ded3b,Synthetic confectionery 180,1.18,0.78,0.36,16.98,confectionery,2,1,0,3,1
SYN-1167a30a,Synthetic confectionery 181,1.14,0.41,0.49,13.63,confectionery,2,1,0,3,1
SYN-028c9405,Synthetic pizza 182,1.16,0.39,0.48,13.6,pizza,1,0,1,8,1
SYN-9cbe8912,Synthetic potatoe products 183,0.6,0.41,0.36,12.69,potatoe products,2,0,1,5,1
SYN-a7c6ba71,Synthetic vegetables 184,0.7,0.41,0.6,11.87,vegetables,2,1,0,4,1
SYN-eb164a66,Synthetic bakery products 185,1.11,0.38,0.49,12.43,bakery products,3,1,0,1,1
SYN-e691b421,Synthetic confectionery 186,0.68,0.36,0.36,13.65,confectionery,2,1,0,3,1
SYN-4404f021,Synthetic bakery products 187,0.48,0.41,0.57,5.54,bakery products,2,1,0,9,1
SYN-8ae7de48,Synthetic bakery products 188,0.79,0.36,0.48,15.77,bakery products,2,1,0,7,1
SYN-769218b0,Synthetic confectionery 189,0.8,0.58,0.49,20.4,confectionery,3,1,0,7,1
SYN-0e78ac31,Synthetic bakery products 190,1.15,0.43,0.46,15.18,bakery products,1,1,0,2,1
SYN-f791953d,Synthetic pizza 191,1.01,0.32,0.47,10.03,pizza,2,0,1,4,1
SYN-f60ebb4f,Synthetic confectionery 192,0.66,0.41,0.59,10.82,confectionery,2,1,0,8,1
SYN-cdbacb14,Synthetic ice cream 193,0.66,0.41,0.59,10.68,ice cream,1,1,0,7,1
SYN-59f75056,Synthetic confectionery 194,1.06,0.33,0.49,11.93,confectionery,1,1,0,1,1
SYN-8c7c8a53,Synthetic vegetables 195,0.78,0.53,0.56,19.96,vegetables,3,1,0,5,1
SYN-93eda67a,Synthetic confectionery 196,0.77,0.53,0.58,19.81,confectionery,3,1,0,3,1
SYN-e19ad696,Synthetic poultry 197,1.14,0.39,0.48,11.91,poultry,1,0,1,5,1
SYN-a274b27f,Synthetic bakery products 198,1.04,0.48,0.5,12.9,bakery products,2,1,0,8,1
SYN-e4a9bfc3,Synthetic snack 199,1.07,0.54,0.54,19.61,snack,2,0,1,5,1
SYN-ecc0b481,Synthetic ice cream 200,1.15,0.45,0.33,13.67,ice cream,1,1,0,7,1
SYN-7082d8b5,Synthetic ice cream 201,1.11,0.49,0.61,18.29,ice cream,3,1,0,7,1
SYN-bf542997,Synthetic vegetables 202,0.69,0.41,0.58,9.21,vegetables,3,1,0,4,1
SYN-fffb6117,Synthetic fish 203,0.78,0.37,0.54,16.14,fish,3,0,0,1,1
SYN-cd7b9630,Synthetic confectionery 204,0.61,0.4,0.53,10.47,confectionery,2,1,0,4,1
SYN-86145e6a,Synthetic pizza 205,1.1,0.48,0.43,15.77,pizza,1,0,1,10,1
SYN-a9e87689,Synthetic dairy products 206,0.78,0.53,0.57,20.23,dairy products,3,0,1,4,1
SYN-e2e1577b,Synthetic snack 207,1.03,0.33,0.47,11.9,snack,3,0,1,5,1
SYN-20c2f65a,Synthetic candy 208,1.13,0.45,0.48,16.09,candy,2,0,1,5,1
SYN-a58ebfd5,Synthetic confectionery 209,0.75,0.51,0.62,18.48,confectionery,3,1,0,6,1
SYN-ee43a24b,Synthetic seafood 210,1.15,0.44,0.37,15.54,seafood,3,0,1,4,1
SYN-67442ffc,Synthetic bakery products 211,0.8,0.57,0.47,6.74,bakery products,2,1,0,1,1
SYN-16919a50,Synthetic confectionery 212,0.76,0.53,0.63,19.35,confectionery,1,1,0,3,1
SYN-5489baca,Synthetic side dish 213,1.05,0.53,0.53,17.83,side dish,2,0,1,1,1
SYN-064fc39e,Synthetic ice cream 214,1.15,0.4,0.49,13.66,ice cream,1,1,0,4,1
SYN-3ce87ee9,Synthetic confectionery 215,0.72,0.41,0.6,13.08,confectionery,3,1,0,2,1
SYN-36929d32,Synthetic confectionery 216,1.01,0.45,0.46,10.69,confectionery,3,1,0,2,1
SYN-2a679445,Synthetic side dish 217,1.15,0.41,0.45,13.06,side dish,2,0,1,10,1
SYN-7757c85a,Synthetic confectionery 218,1.09,0.33,0.49,12.06,confectionery,3,1,0,9,1
SYN-c414925d,Synthetic confectionery 219,1.07,0.54,0.54,19.16,confectionery,3,1,0,6,1
SYN-14ce0f07,Synthetic confectionery 220,0.67,0.41,0.58,10.77,confectionery,1,1,0,2,1
SYN-58fac3d9,Synthetic snack 221,0.67,0.42,0.6,10.91,snack,1,0,1,5,1
SYN-90b80a3a,Synthetic dairy products 222,0.54,0.39,0.46,8.52,dairy products,2,0,1,8,1
SYN-8dfdc49e,Synthetic confectionery 223,0.78,0.53,0.57,20.51,confectionery,3,1,0,6,1
SYN-37658b3e,Synthetic potatoe products 224,0.77,0.53,0.6,19.07,potatoe products,2,0,1,7,1
SYN-5c3d32f7,Synthetic confectionery 225,1.15,0.43,0.46,14.12,confectionery,1,1,0,1,1
SYN-d41a217e,Synthetic instant meals 226,0.8,0.59,0.47,16.83,instant meals,1,0,1,1,1
SYN-a407a09e,Synthetic bakery products 227,1.17,0.78,0.25,18.65,bakery products,3,1,0,4,1
SYN-ff4db4dc,Synthetic bakery products 228,0.68,0.42,0.61,11.41,bakery products,3,1,0,1,1
SYN-1049aa29,Synthetic confectionery 229,1.14,0.69,0.63,18.49,confectionery,3,1,0,5,1
SYN-94fe539b,Synthetic bakery products 230,0.59,0.42,0.36,11.73,bakery products,3,1,0,9,1
SYN-08cdd31e,Synthetic fruit 231,0.57,0.41,0.39,11.44,fruit,1,1,0,8,1
SYN-b941aaa9,Synthetic bakery products 232,1.06,0.49,0.47,12.64,bakery products,3,1,0,3,1
SYN-1ddf0dfb,Synthetic confectionery 233,1.16,0.4,0.47,13.23,confectionery,2,1,0,1,1
SYN-4ade1368,Synthetic ice cream 234,1.03,0.32,0.49,11.16,ice cream,2,1,0,4,1
SYN-0d571549,Synthetic confectionery 235,1.18,0.8,0.55,14.3,confectionery,3,1,0,10,1
SYN-91ea3a8c,Synthetic confectionery 236,1.11,0.36,0.48,12.66,confectionery,1,1,0,7,1
SYN-24ac2bfc,Synthetic red meat 237,0.67,0.41,0.59,10.93,red meat,3,0,1,9,1
SYN-966b1ce3,Synthetic fruit 238,0.78,0.49,0.56,20.89,fruit,2,1,0,2,1
SYN-9f4e782a,Synthetic seafood 239,0.76,0.72,0.41,15.31,seafood,3,0,1,3,1
SYN-29d6b434,Synthetic vegetables 240,0.89,0.51,0.6,20.18,vegetables,3,1,0,6,1
SYN-e27e3705,Synthetic candy 241,0.78,0.54,0.52,20.85,candy,3,0,1,6,1
SYN-342e9256,Synthetic red meat 242,1.15,0.43,0.42,14.17,red meat,2,0,1,7,1
SYN-2f05df4a,Synthetic confectionery 243,0.73,0.36,0.39,14.62,confectionery,1,1,0,10,1
SYN-e627e49c,Synthetic seafood 244,0.76,0.56,0.44,21.87,seafood,2,0,1,6,1
SYN-174b68ca,Synthetic fish 245,1.18,0.79,0.54,15.06,fish,3,0,0,1,1
SYN-a1aac5b3,Synthetic seafood 246,0.59,0.42,0.43,12.09,seafood,3,0,1,2,1
SYN-a2133046,Synthetic ice cream 247,0.91,0.61,0.37,10.37,ice cream,3,1,0,3,1
SYN-b9b335a1,Synthetic ice cream 248,1.09,0.47,0.45,10.77,ice cream,3,1,0,4,1
SYN-876c3110,Synthetic confectionery 249,0.76,0.53,0.61,19.13,confectionery,2,1,0,8,1
SYN-53171cec,Synthetic poultry 250,1.18,0.8,0.54,14.83,poultry,1,0,1,6,1
SYN-4f2f0b47,Synthetic red meat 251,1.13,0.53,0.67,19.06,red meat,3,0,1,5,1
SYN-b54e6231,Synthetic confectionery 252,0.75,0.54,0.44,21.03,confectionery,2,1,0,3,1
SYN-ccd2bcde,Synthetic ice cream 253,1.08,0.55,0.51,19.05,ice cream,1,1,0,2,1
SYN-ef380d75,Synthetic vegetables 254,1.16,0.74,0.26,16.88,vegetables,2,1,0,5,1
SYN-33efa9bd,Synthetic seafood 255,0.6,0.34,0.43,4.83,seafood,3,0,1,7,1
SYN-799adc20,Synthetic pizza 256,0.7,0.39,0.59,11.75,pizza,1,0,1,8,1
SYN-62b42a78,Synthetic confectionery 257,0.51,0.27,0.45,3.0,confectionery,3,1,0,3,1
SYN-501fd59f,Synthetic bakery products 258,1.19,0.73,0.14,14.81,bakery products,1,1,0,10,1
SYN-63034d3d,Synthetic bakery products 259,1.17,0.77,0.25,15.38,bakery products,2,1,0,6,1
SYN-b15df4ac,Synthetic snack 260,1.14,0.36,0.5,12.49,snack,3,0,1,9,1
SYN-27212fd5,Synthetic potatoe products 261,0.8,0.57,0.28,11.17,potatoe products,2,0,1,5,1
SYN-e5466d81,Synthetic confectionery 262,0.8,0.54,0.22,10.66,confectionery,3,1,0,1,1
SYN-32488a3a,Synthetic dairy products 263,1.08,0.49,0.43,11.89,dairy products,1,0,1,2,1
